date , Sv , C 
Tue Nov 10 12:03:44 2020, 59.54, 810.0
Tue Nov 10 12:04:09 2020, 48.02, 810.0
Tue Nov 10 12:04:33 2020, 59.26, 810.0
Tue Nov 10 12:04:54 2020, 61.87, 810.0
Tue Nov 10 12:05:19 2020, 67.80, 810.0
Tue Nov 10 12:05:41 2020, 64.69, 810.0
Mon Nov 23 15:16:39 2020, 57.25, 840.0
Mon Nov 23 15:17:07 2020, 58.06, 840.0
Mon Nov 23 15:17:34 2020, 63.84, 840.0
